A list of Australia national soccer team results:
Australia national soccer team results (1922–59)
Australia national soccer team results (1960–79)
Australia national soccer team results (1980–89)
1990 Australia national soccer team season
1991 Australia national soccer team season
1992 Australia national soccer team season
1993 Australia national soccer team season
1994 Australia national soccer team season
1995 Australia national soccer team season
1996 Australia national soccer team season
1997 Australia national soccer team season
1998 Australia national soccer team season
1999 Australia national soccer team season
2000 Australia national soccer team season
2001 Australia national soccer team season
2002 Australia national soccer team season
2003 Australia national soccer team season
2004 Australia national soccer team season
2005 Australia national soccer team season
2006 Australia national soccer team season
2007 Australia national soccer team season
2008 Australia national soccer team season
2009 Australia national soccer team season
2010 Australia national soccer team season
2011 Australia national soccer team season
2012 Australia national soccer team season
2013 Australia national soccer team season
2014 Australia national soccer team season
2015 Australia national soccer team season
2016 Australia national soccer team season
2017 Australia national soccer team season
