"number","title","pageid","namespace","length","touched"
"1","Artificial_intelligence","1164","","193656","20170926200527"
"2","Association_for_Computing_Machinery","2928","","27707","20170924081752"
"3","Software","5309","","26650","20170921093933"
"4","Computer_science","5323","","59971","20170926224645"
"5","Computational_linguistics","5561","","37502","20170922101414"
"6","Computer_program","5783","","28741","20170926115205"
"7","Computational_chemistry","6019","","35591","20170926115835"
"8","P_versus_NP_problem","6115","","57334","20170922091345"
"9","Chaos_theory","6295","","84541","20170921124945"
"10","List_of_computer_scientists","6834","","38506","20170926110647"
"11","Church–Turing_thesis","6854","","48793","20170922163430"
"12","Computational_complexity_theory","7543","","46505","20170919013748"
"13","Fractal","10913","","66995","20170927025346"
"14","Geographic_information_system","12398","","71655","20170923075117"
"15","Integer_factorization","15491","","21116","20170923051246"
"16","Jon_Postel","15767","","13734","20170920191521"
"17","John_von_Neumann_Theory_Prize","16461","","5316","20170926144113"
"18","Knowledge_Systems_Laboratory","17232","","1240","20170616191043"
"19","Nevanlinna_Prize","21459","","3158","20170817074307"
"20","Natural_language_processing","21652","","26631","20170923175632"
"21","Timeline_of_programming_languages","23696","","42588","20170920233301"
"22","Programmer","23716","","18264","20170927001103"
"23","RFPolicy","26369","","1448","20170726131430"
"24","Software_Engineering_Body_of_Knowledge","28878","","4567","20170922223821"
"25","SIGGRAPH","29279","","18606","20170916154100"
"26","Turing_Award","31093","","25527","20170926070047"
"27","Phonetic_algorithm","36712","","3854","20170907135235"
"28","Convex_hull","40634","","17449","20170921193628"
"29","Degree_of_isochronous_distortion","41009","","763","20170520120645"
"30","Identity_map_pattern","46955","","1228","20170828063741"
"31","Computer_engineering","50408","","17681","20170927051407"
"32","Cellular_automaton","54342","","61478","20170924204925"
"33","John_Mathieson_(computer_scientist)","58072","","1267","20170729201510"
"34","A_New_Kind_of_Science","93070","","38991","20170916232937"
"35","Shotgun_debugging","101415","","1973","20170813163204"
"36","Computational_physics","106418","","11841","20170916181429"
"37","Pattern_recognition","126706","","31660","20170923230841"
"38","FOSSIL","142583","","3306","20170606160608"
"39","Computational_biology","149353","","24219","20170811202332"
"40","Church–Rosser_theorem","150035","","2483","20170616122426"
"41","Guarded_suspension","164871","","3225","20170923193041"
"42","Outline_of_computer_science","169633","","10764","20170914063437"
"43","Computational_archaeology","171644","","16140","20170903130901"
"44","Computational_geometry","176927","","14148","20170902051513"
"45","Voronoi_diagram","177668","","33762","20170926045726"
"46","Discrete_logarithm","181334","","12158","20170919190515"
"47","Ontology_Inference_Layer","183501","","1254","20170619042300"
"48","Compile_time","191766","","2176","20170816001042"
"49","COMAL","197700","","5138","20170902160639"
"50","Thomas_write_rule","217343","","2832","20170823003556"
"51","Negative_cache","234029","","2673","20170816184806"
"52","Loebner_Prize","238725","","19736","20170926150233"
"53","Durability_(database_systems)","245944","","1240","20170816231656"
"54","Language_technology","252008","","1907","20170722210653"
"55","Curry–Howard_correspondence","254299","","54313","20170925074130"
"56","Computational_neuroscience","271430","","30174","20170923091359"
"57","Computational_fluid_dynamics","305924","","50660","20170902005337"
"58","Superior_(hierarchy)","307680","","1532","20170818074038"
"59","Pulse_computation","319106","","935","20170628194241"
"60","Epigrams_on_Programming","323141","","1226","20170629101008"
"61","Computer_scientist","328784","","4906","20170921011833"
"62","Industrial_data_processing","332341","","864","20170819075329"
"63","One-way_function","363890","","12822","20170906021901"
"64","Jump_threading","369445","","1004","20170820064331"
"65","Truncation_selection","371724","","2803","20170908011136"
"66","Computer_simulation","375416","","33817","20170920230326"
"67","Bus_contention","376507","","3752","20170918152112"
"68","Computational_learning_theory","387537","","7241","20170922144724"
"69","Re-order_buffer","390468","","1865","20170721053605"
"70","Real_computation","397247","","3801","20170701164427"
"71","Jürgen_Schmidhuber","405484","","4227","20170917223024"
"72","Polylogarithmic_function","445957","","1229","20170825090531"
"73","List_of_important_publications_in_computer_science","454351","","53935","20170916191724"
"74","Evolutionary_programming","460689","","2202","20170922140016"
"75","Systems_biology","467899","","32569","20170919113045"
"76","SSLIOP","470198","","562","20170702150109"
"77","International_Computer_Music_Conference","483877","","3762","20170916154105"
"78","Paradox_(theorem_prover)","491066","","473","20170831222315"
"79","Starvation_(computer_science)","501591","","4288","20170923023501"
"80","Tony_Kent_Strix_award","504195","","3504","20170917023227"
"81","Computational_semiotics","505237","","4824","20170901020052"
"82","3SUM","506330","","15277","20170917004000"
"83","Geomatics","510905","","15258","20170822093057"
"84","Computational_number_theory","511466","","2252","20170919203020"
"85","Cooperative_distributed_problem_solving","517197","","2598","20170706205821"
"86","Interaction_protocol","517718","","596","20170811041508"
"87","Computer_Science_and_Engineering","524425","","2803","20170912153233"
