"number","title","pageid","namespace","length","touched"
"1","Boomerang","4359","","39324","20170925214413"
"2","Chariots_of_Fire","5729","","56647","20170922005940"
"3","Cycling","5931","","55100","20170922081752"
"4","Cheerleading","6749","","73971","20170920224405"
"5","Extreme_sport","9933","","23812","20170926140050"
"6","Fantasy_sport","10653","","50464","20170922174732"
"7","Gladiator","12336","","112942","20170924133344"
"8","Gymnastics","12551","","44457","20170925213207"
"9","Lacrosse","18080","","62742","20170922165237"
"10","Munich_massacre","20989","","84726","20170927034736"
"11","Physical_therapy","24022","","60886","20170926163319"
"12","Shooting_sport","28498","","24955","20170923164612"
"13","Sabermetrics","28692","","22426","20170923062728"
"14","Mercy_rule","28695","","16465","20170903205748"
"15","Tennis_court","30311","","13629","20170927022203"
"16","Turners","31500","","10829","20170908000901"
"17","Volleyball","32558","","60821","20170926065453"
"18","World_cup_competition","33727","","2924","20170807095400"
"19","Yoga","34258","","141041","20170927041407"
"20","Disabled_sports","37686","","18700","20170922101039"
"21","Winter_sport","38950","","8743","20170924014051"
"22","Boardsport","38983","","10931","20170831095300"
"23","Nordic_combined","40055","","6064","20170925174138"
"24","Pigeon_sport","40616","","792","20170601201253"
"25","List_of_sports_history_organisations","40671","","1088","20170517112758"
"26","Jumping","43609","","10457","20170924054645"
"27","Weight_training","44574","","40670","20170923213249"
"28","Parachute","48339","","50223","20170921164623"
"29","Eventing","48931","","56410","20170925165313"
"30","Racing","50857","","10087","20170922092623"
"31","Racket_(sports_equipment)","52664","","17272","20170922165747"
"32","Hockey_puck","53347","","17189","20170919080923"
"33","Multi-sport_event","53900","","14714","20170917050422"
"34","Football_War","57596","","18185","20170824110837"
"35","Stanley_Cup","66968","","66185","20170921194132"
"36","Equestrianism","74700","","60689","20170922044616"
"37","Glasses","74844","","42647","20170923131010"
"38","U.S._Open","82726","","2179","20170219194744"
"39","Goalkeeper","86314","","22929","20170827035716"
"40","Countryside_Alliance","142926","","14204","20170917002143"
"41","Leotard","153182","","10466","20170917193255"
"42","Skin-tight_garment","153857","","10614","20170902022407"
"43","Sled","153862","","10150","20170831054647"
"44","List_of_dancewear","153873","","409","20170901063604"
